pair_key,molecule_a_id,molecule_b_id,molecule_a_hash,molecule_b_hash,scaffold_a_hash,scaffold_b_hash,tanimoto_similarity,delta_pIC50
3dc79f142704,CHEMBL2441563,CHEMBL4634127,60330559774e,e6ff095c342a,2c7ee8ba4a92,997b9640c683,0.8636,1.793
e7e5762529d0,CHEMBL3699596,CHEMBL3699616,3eabbb2b6c21,0f2c7c40b073,0b0bb31fe13d,0b0bb31fe13d,0.8537,1.7922
0a0de2a57df4,CHEMBL5921524,CHEMBL6054367,8405ddc36857,3860b0a19855,135e88195b66,81b9b5f2adf8,0.8592,1.792
f7664ac8a302,CHEMBL3647970,CHEMBL4073874,d98e9946d203,df6f609597c0,ce31abc46830,3e0ea7a2c961,0.8714,1.7887
c787e3549358,CHEMBL5779576,CHEMBL5973924,45c15b8e1db7,686bef05855c,2d47a0e74661,2d47a0e74661,0.9231,1.7881
df976c758d0d,CHEMBL3612578,CHEMBL3612594,0c202f41b891,ebbd83ae0ff8,ed514f651857,ed514f651857,0.8615,1.7782
b634ac1ed951,CHEMBL114490,CHEMBL607707,7d210ebcc654,016d9f2838af,9f64913a9962,9f64913a9962,0.8767,1.7767
4e140f2d0937,CHEMBL5565127,CHEMBL5574303,86da225a956d,6e600c08fd56,6fab0862589f,6fab0862589f,0.8571,1.768
4c6921335a8e,CHEMBL6021920,CHEMBL6022955,1431084a3d56,28dfd8a6ae1a,bf2ea990703d,bf2ea990703d,1.0,1.7593
c973dc121323,CHEMBL4064937,CHEMBL4071474,35a6209555d2,f540f3490890,fb7d16bf2371,06721c212967,0.8537,1.7589
5271ae61b2f9,CHEMBL4457018,CHEMBL4469900,d1a4d70c8456,5f9c866cd371,c7b9dc4cc665,c7b9dc4cc665,0.8706,1.7586
f2ad32b8829c,CHEMBL5786877,CHEMBL5949226,b395cc7aad65,20384b4ca496,715bea50c9c1,08dc18123ed5,0.9211,1.7547
db212e13c255,CHEMBL251314,CHEMBL251315,c1d237bdd416,53cbc6c9601b,67beac06de99,67beac06de99,1.0,1.7527
3bc316060c59,CHEMBL5957593,CHEMBL6054621,9c4881074d2d,c064f94c008d,558a55bd1de8,8b0971d5f138,0.9036,1.752
48be2ed6e7ff,CHEMBL5948463,CHEMBL5957593,05217240ef09,9c4881074d2d,558a55bd1de8,558a55bd1de8,0.9012,1.752
9c801bbd9137,CHEMBL3604943,CHEMBL4463766,a54ff845d157,2c15c12f132f,a68a0d7dd4f9,f208e88e7f4d,0.8667,1.7471
9db772a37b5a,CHEMBL3612574,CHEMBL3612592,acbd8e39444c,783c983ef36b,ed514f651857,ed514f651857,0.8696,1.746
7a6bf55285ff,CHEMBL3699586,CHEMBL4856343,cbcbd6c2731f,e086c28ba094,fb866faba5fc,fb866faba5fc,0.8551,1.7423
dd4797008020,CHEMBL5075204,CHEMBL5085143,612f7bf7b30a,cb2c43834d96,2b8c1fa5bc30,2b8c1fa5bc30,0.8675,1.7413
c32f739c06f8,CHEMBL593860,CHEMBL606466,6e5acd2d1644,137e694c8615,c9c1b60fac08,c9c1b60fac08,0.8889,1.7404
7d45287e18c9,CHEMBL4464589,CHEMBL4472983,ea4a38d0e47b,904ef89ccf17,4aa52b594411,4aa52b594411,0.9012,1.7348
6d2d233618cc,CHEMBL5763337,CHEMBL6057992,42bea0489735,a9077b65f8d8,eaf1ea038dd8,f9e6a0eb24e7,0.9059,1.7324
4b43c43ab1dd,CHEMBL5783967,CHEMBL5881427,a32a34b83d36,9326600ea42b,4f9efeb09982,4f9efeb09982,0.9036,1.7275
a2fa9795d768,CHEMBL5783967,CHEMBL5809227,a32a34b83d36,62dd4dcc2cf9,4f9efeb09982,4f9efeb09982,0.8706,1.7275
05faeb44390a,CHEMBL5783967,CHEMBL5812558,a32a34b83d36,836f01e87645,4f9efeb09982,4f9efeb09982,0.8706,1.7275
c14956010eab,CHEMBL3353403,CHEMBL5820028,5d00a607fdcb,081d3b1ee793,a73b97806e0c,a73b97806e0c,1.0,1.727
1a2e1a32f64b,CHEMBL4450843,CHEMBL4521381,e369a09cd02c,7e550ec7e987,3b812260fda9,3b812260fda9,1.0,1.7116
6650257723aa,CHEMBL109212,CHEMBL111443,e91f210ec6ce,8f3a5d8129b8,9f64913a9962,9f64913a9962,0.9216,1.71
1f6d2fcdb45d,CHEMBL3920551,CHEMBL3968039,66d2c0852988,4c762fce97b0,95497d93eeeb,49ff8153b0c8,0.8684,1.7076
31ce668acf2b,CHEMBL4463765,CHEMBL4540303,dc5836de035a,432c0a2d0450,a9199ff128f7,5c3295f7e007,0.9211,1.6999
5bb8d80a9a2f,CHEMBL4211835,CHEMBL4217913,0d3b1c04422c,1546c20acb4b,c8246288cb2b,c8246288cb2b,0.9104,1.6996
e2359eeadc0a,CHEMBL440298,CHEMBL490577,459fa3302479,54716555a016,679fa837f1c5,679fa837f1c5,1.0,1.699
667908f5ff23,CHEMBL5746836,CHEMBL5818938,6b7cf1c34169,0a46d16a04d1,70268b1950b3,70268b1950b3,1.0,1.699
0f6350456cf7,CHEMBL5818938,CHEMBL5928946,0a46d16a04d1,cd0bfff61477,70268b1950b3,0b646909e828,0.8696,1.699
a9584ddf492f,CHEMBL1241770,CHEMBL1241859,4b7482f9c27a,88c1460e2d7e,4cbd6544eaeb,4da71297c793,0.8929,1.6968
be3895c528fe,CHEMBL1830267,CHEMBL1830274,a4b439f12179,15155e7a10a1,c3d890e54028,c3d890e54028,0.8974,1.6962
c7b432ef49ba,CHEMBL5173517,CHEMBL6145857,f4eb1325decc,7c475fd7e8d5,3ff23e73b2de,3ff23e73b2de,1.0,1.6812
a75035405fcb,CHEMBL3088220,CHEMBL3088225,f97d173c7e17,a4edfa39701c,bd9f78919521,bd9f78919521,0.8727,1.6786
734cc8e399e5,CHEMBL4750196,CHEMBL4777554,af91ad93252f,67efbfe50990,ba13fcf595df,294df01ca7c7,0.8523,1.6704
86fd43cde4ff,CHEMBL5597916,CHEMBL6025577,2bd3bf2dddfd,d0fb952730ef,102b8afb7edf,102b8afb7edf,0.8571,1.6672
e67a7d0162ed,CHEMBL2347960,CHEMBL2347962,9f339a28f9ee,6ca414e5ecc2,3b812260fda9,3b812260fda9,0.942,1.6645
7abcaed5d652,CHEMBL3671496,CHEMBL3671509,71116ee25646,f9aebe1a0e51,3e29b80f74c6,3e29b80f74c6,0.8571,1.658
cb1d51d143df,CHEMBL5836438,CHEMBL6040634,70b049ddc667,46116777f479,6df27864b04c,6df27864b04c,1.0,1.6404
7c132ec4211c,CHEMBL5858538,CHEMBL5938505,2c0412f91062,b52e9a1555e2,27529897247c,27529897247c,0.9107,1.6404
610a9dd4e281,CHEMBL5836438,CHEMBL6016272,70b049ddc667,c5c757ac3b12,6df27864b04c,7bdbbc54e4d3,0.9048,1.6404
3a1ff0f52296,CHEMBL5822224,CHEMBL5823520,1a40197d5def,effa012da939,26d6f17b0813,acfb933161ac,0.8519,1.6404
69ee9897f75c,CHEMBL3892960,CHEMBL3973973,3ce9bb28fb28,8aee112193ad,7363ba303ab8,50c1adc5560d,0.913,1.6382
69039a16d779,CHEMBL5779576,CHEMBL5817731,45c15b8e1db7,b81be7e42d03,2d47a0e74661,2d47a0e74661,1.0,1.6375
92aad59ffe50,CHEMBL1812559,CHEMBL1812572,ed82cc269154,c2d07b22f2e9,da3565ff60dd,da3565ff60dd,0.8571,1.6335
6f4d94a57fe5,CHEMBL4443062,CHEMBL5564265,de8232a1a833,87fe09ded6ff,c51640a3637d,c51640a3637d,1.0,1.6264
70524960a869,CHEMBL3671517,CHEMBL3676390,8f884f72d9f6,76c898d0c91a,3e29b80f74c6,3e29b80f74c6,0.8551,1.624
5064b3fe1e03,CHEMBL132348,CHEMBL444337,ea4274db4350,92f3b9a56df2,a9e4bd30086e,a9e4bd30086e,0.9041,1.6226
27541acdff40,CHEMBL3233783,CHEMBL3233787,0b8bfff1d983,643b0d5e6d1b,b894cedca0d1,0279ffb7701c,0.913,1.6221
ec6cf490fc8c,CHEMBL104244,CHEMBL299194,6c0d1045a769,a54b4fefe5a3,00227faa0586,a182deee2cb5,0.9464,1.6173
b4d0f7d0f953,CHEMBL5960937,CHEMBL6020006,953fbf9a41f5,c459ac38c8e6,d0ea4281d43e,75307b96f247,0.8852,1.6037
77518d544241,CHEMBL3353410,CHEMBL4527702,2255e7269aad,84eda3d54fed,4aa52b594411,4aa52b594411,0.8553,1.6028
fce200d7b0e8,CHEMBL5088907,CHEMBL5093794,9e42efea89b8,d895ed71f239,4cc5ec5ba0a8,4cc5ec5ba0a8,0.8714,1.6002
5db2189d6186,CHEMBL4440096,CHEMBL4572913,863a972a09f2,2c18c9c6e86d,d89be4a06dad,d89be4a06dad,0.8553,1.6002
c4a7aa241999,CHEMBL1272061,CHEMBL1272223,38c77b153ec9,d581e8553d3f,94bc1f78001b,94bc1f78001b,0.8571,1.5995
9d28f870f595,CHEMBL5805901,CHEMBL5940711,09d90c125642,9cbac1665fbc,4f9efeb09982,4f9efeb09982,0.8659,1.5966
a8e0c96436c6,CHEMBL1240553,CHEMBL1241581,3f624ab7a828,5d1a758f699f,3bcd045fc19f,3bcd045fc19f,0.86,1.5942
0841b93975ba,CHEMBL5775870,CHEMBL5988402,803480b7c67d,82726955d9dd,61372f82794c,02e959d5bb9f,0.8539,1.5911
ad07c824c49e,CHEMBL4061043,CHEMBL4089863,e1afeb8f59a9,78a2e667a166,1a5df4b41096,5d87b8e22318,0.8889,1.587
b4ace5f7b409,CHEMBL5786207,CHEMBL6036892,8509774ed74d,9846a4b9d080,f9334c24dbd8,f9334c24dbd8,1.0,1.5812
7413d908a307,CHEMBL5810815,CHEMBL5901017,adc13f4f422a,5a533d2b6e04,f9334c24dbd8,f9334c24dbd8,1.0,1.5781
0856b010463c,CHEMBL369299,CHEMBL427314,b722b34ae999,25e8e9d59818,bedf6cea4efd,ea4cc288bd29,0.8701,1.5761
5882f1cc0b2f,CHEMBL3353410,CHEMBL3353412,2255e7269aad,0b40c765c847,4aa52b594411,4aa52b594411,0.8684,1.575
d3180a8ff264,CHEMBL4476772,CHEMBL4527630,a1f9f2b313ee,13b9137cfedc,25044a853e86,ae235d7b81fb,0.9167,1.573
8b6ae431d5ec,CHEMBL4747078,CHEMBL4792967,0dcdbb901420,020fa22c1218,ba5e1d4530c1,54a5d56aa58e,0.8966,1.5703
86ceb5e62777,CHEMBL5583656,CHEMBL5592873,8cd321eb5e6b,bad9872a0f75,54a5d56aa58e,ba5e1d4530c1,0.8929,1.5703
c1928dfdd5af,CHEMBL3903249,CHEMBL3903870,21ada595d2df,1f82635be601,ff9c9d634b52,ff9c9d634b52,1.0,1.5687
81d5288587ab,CHEMBL3353410,CHEMBL4464879,2255e7269aad,4ccce5bf0393,4aa52b594411,4aa52b594411,0.8919,1.5673
99653724d321,CHEMBL4443062,CHEMBL5191510,de8232a1a833,7ba093282444,c51640a3637d,c51640a3637d,0.863,1.5643
effe5bcae2e0,CHEMBL179923,CHEMBL360519,eeb8f4f923d3,52abcd0abfde,bedf6cea4efd,bedf6cea4efd,0.9012,1.5618
690fc47d1205,CHEMBL126903,CHEMBL351629,4eb815feccc9,8f1e714d191c,4b4d2530bd5a,4c8e4b345a30,0.8519,1.5586
d4c55ef48fc8,CHEMBL5194722,CHEMBL5196495,c2150eb286cb,57917fda1123,b771713b0d33,b771713b0d33,0.8554,1.553
03105ade122a,CHEMBL5755058,CHEMBL5959712,dd753236fba9,3675843bb8ae,d49c9c80e448,f4997e43c18d,0.9041,1.5463
4ba62ce2c6f1,CHEMBL447720,CHEMBL500217,e861e85695cd,5fd40e5496df,695360bfcdd0,503567800e22,0.8876,1.5454
02aaaa0686d0,CHEMBL3325478,CHEMBL3325479,08e7c9b7d6e0,6aaaec1d077c,d68e1c34939d,d68e1c34939d,0.875,1.5441
a4fa41e97e9f,CHEMBL3633940,CHEMBL3814211,143202cc336f,0d354c9a2563,5c0f398f8345,3e29b80f74c6,0.8627,1.5441
f5c4fc83817d,CHEMBL473351,CHEMBL473553,fa686526d289,03b6dbe6547c,5cb49fca2b73,5cb49fca2b73,0.8545,1.5431
04e23475f2f8,CHEMBL4226254,CHEMBL5767529,5453dc1bdd0c,2172b74c522a,d3e5c04ea83f,b5879315686e,0.9012,1.5405
a336433b94f4,CHEMBL1830265,CHEMBL1830276,415340b91415,72052de627b6,c3d890e54028,c3d890e54028,0.8974,1.5405
0983c1bed495,CHEMBL4634127,CHEMBL4643111,e6ff095c342a,0cf25a31778d,997b9640c683,28510fc34321,0.8652,1.5394
1728c155f204,CHEMBL3671491,CHEMBL3671522,d4663262efd5,c95e2cb3a675,3e29b80f74c6,3e29b80f74c6,0.8657,1.5378
85c4a4fc2600,CHEMBL591039,CHEMBL592216,708ae7e8f9dd,a2f328d67d51,3e29b80f74c6,3e29b80f74c6,0.9464,1.5369
aab1e81c59ea,CHEMBL4211835,CHEMBL4213519,0d3b1c04422c,bb5ea17ab739,c8246288cb2b,c8246288cb2b,0.9104,1.5355
5711d2a4eeeb,CHEMBL3933568,CHEMBL3938494,a67f6d51b3ff,ce9c32814987,49ff8153b0c8,49ff8153b0c8,0.863,1.5246
d51b6b08e7bd,CHEMBL5783967,CHEMBL6011854,a32a34b83d36,ca2d6afb1acb,4f9efeb09982,4f9efeb09982,0.8916,1.5234
a590d9ef91fc,CHEMBL5808896,CHEMBL5951245,d2befa63dadc,b93a6f2d3504,f05b463c4807,f05b463c4807,0.8824,1.519
1282e0ef3b16,CHEMBL5076986,CHEMBL5078816,cf46d5ef713c,d4ea7fb38069,9b2aaf89f954,9b2aaf89f954,0.8592,1.5185
f6f78135ce60,CHEMBL5747445,CHEMBL5985094,7c1d024dd92a,cc065e5014ff,e75fd5c2c911,e75fd5c2c911,0.8974,1.5184
6ef3db373cb8,CHEMBL132169,CHEMBL435809,de295493b2eb,e2f28dbd1753,67cab29be820,67cab29be820,0.8846,1.5149
ff40aa8e9a52,CHEMBL5909490,CHEMBL5918833,d04adcd1ebb6,9e028aaf68ae,d0ea4281d43e,75307b96f247,0.8889,1.5143
ba0ee67e51b3,CHEMBL3353410,CHEMBL4454745,2255e7269aad,dce681aaf907,4aa52b594411,4aa52b594411,0.88,1.513
d6563cc1c5e9,CHEMBL4646638,CHEMBL4648924,32adf2587025,b5bd5f3e3ce4,71ae5956ab77,997b9640c683,0.9438,1.5128
79a0bfe12bd0,CHEMBL3263962,CHEMBL3263966,5e532121663b,69be73a5ecdf,723109a199f9,250541030665,0.8659,1.5124
d5880a90298c,CHEMBL3604943,CHEMBL4454929,a54ff845d157,03f37b84d8db,a68a0d7dd4f9,704f21d1a785,0.88,1.5122
b9cc6baf948d,CHEMBL3944027,CHEMBL6016385,1346df8dbe96,779627be212b,26d6f17b0813,26d6f17b0813,0.9032,1.5119
90632f88f914,CHEMBL3699589,CHEMBL3699616,c507e5fef6fd,0f2c7c40b073,0b0bb31fe13d,0b0bb31fe13d,0.8795,1.5119
fe6cdde23f0f,CHEMBL1079742,CHEMBL3741490,f99cb62860a4,dd80bcce5bcb,3e29b80f74c6,3e29b80f74c6,0.9038,1.5106
fcfdf6b94f7d,CHEMBL5272004,CHEMBL5281140,df7c18e68a76,a0f83366f55c,c346e3f655ed,c346e3f655ed,0.8947,1.5072
708a5f780b0a,CHEMBL5934396,CHEMBL6043073,193853e02e69,f97978aff89e,b2a4937fcc48,b2a4937fcc48,0.8571,1.5072
3c3c84321dce,CHEMBL5945683,CHEMBL5977533,c128b8e5b2b2,7bbceb42617d,102b8afb7edf,102b8afb7edf,0.8667,1.5061
aa1dac58425d,CHEMBL3671490,CHEMBL3671503,8f78d6223c78,8ef7022996f9,3e29b80f74c6,3e29b80f74c6,0.9508,1.5051
829b4c436191,CHEMBL117324,CHEMBL157128,18b49c88bd8b,25e2d7a3fb4e,cac07f58500f,cac07f58500f,1.0,1.5
9a1a5e02080f,CHEMBL3671499,CHEMBL3671535,7d7afb080c18,79dfb0326223,3e29b80f74c6,3e29b80f74c6,0.875,1.4997
45faa63ff7bd,CHEMBL5939157,CHEMBL5947797,d2463f6189c7,b8df2b5fab2c,854085c2ae02,854085c2ae02,1.0,1.4991
ccb9f0f849f9,CHEMBL1080506,CHEMBL1082012,165c692ecbc1,0e886408b21f,5b9d39035a31,7f6a65b8a2a2,0.8795,1.4906
6dcaee308902,CHEMBL329642,CHEMBL93464,2b76c2f5481b,6f03773f8eac,3e29b80f74c6,3e29b80f74c6,1.0,1.4902
23dbe4beaf1a,CHEMBL255170,CHEMBL257872,afc4fe136f01,49f39ed0dbb3,e58974eff7a3,e58974eff7a3,0.8611,1.4894
9fe9c8722483,CHEMBL3671572,CHEMBL3671579,f6dbf0038d6b,ab305696a021,47a8990bceb4,dae618766e8f,0.88,1.4892
594da110aeb1,CHEMBL3671577,CHEMBL3671579,cf044be013d6,ab305696a021,d3bb82dd8092,dae618766e8f,0.8649,1.4892
a6efeb0d1a1d,CHEMBL5779576,CHEMBL5814794,45c15b8e1db7,e03569fc6136,2d47a0e74661,61386ecdc77d,0.9043,1.487
536be3e7a72e,CHEMBL3403515,CHEMBL3403517,c64d9ddf7a50,8448a75adeea,a9ecaa8fcafe,58ea6a45b2fb,0.8958,1.4822
6fe51d81298d,CHEMBL122397,CHEMBL122721,760caf8c0d28,e046623e1e30,f573aa99b3be,f573aa99b3be,1.0,1.4803
952a07e45019,CHEMBL3235203,CHEMBL3235204,03924ff05e6f,5eeef6e6d2c7,ac4865952610,ac4865952610,0.8592,1.4798
274a51289b00,CHEMBL4471491,CHEMBL4515673,2044fa6577c8,e3dbbe0459af,5c3295f7e007,5c3295f7e007,0.8537,1.4798
c1fb6121196e,CHEMBL5952854,CHEMBL5972309,7b92c7a33692,e870abd284fa,e392073982b0,904246bda3ab,0.8539,1.4777
db2bad92e04a,CHEMBL604485,CHEMBL606466,b154d8af4626,137e694c8615,912fe434e1f0,c9c1b60fac08,1.0,1.4771
acba154bd0b9,CHEMBL3741490,CHEMBL553,dd80bcce5bcb,f99cb62860a4,3e29b80f74c6,3e29b80f74c6,0.9038,1.4771
a0e34e728cb9,CHEMBL170438,CHEMBL171311,702451cefa62,14a7c7075d12,90addc6bed2e,90addc6bed2e,0.8723,1.4771
5e4aa7fb50fc,CHEMBL5783967,CHEMBL5898457,a32a34b83d36,aabef628b63a,4f9efeb09982,4f9efeb09982,0.8916,1.4723
af5d15563421,CHEMBL5786132,CHEMBL5954442,4423b7e08cc1,7c810c606a73,e392073982b0,7b8edcee10ac,0.8837,1.4717
5096442db857,CHEMBL5394139,CHEMBL5437181,8e233403c4b6,9d946b92a15c,9abd5cb7fd04,3daf69fb1e09,0.9322,1.4713
e84f8c8ce8fc,CHEMBL5273994,CHEMBL5284848,c34e4bac8792,376451bd3d74,8b8dc82425ad,8b8dc82425ad,0.8689,1.4673
1d260c1ef013,CHEMBL3088220,CHEMBL3088224,f97d173c7e17,85f8cd242ee2,bd9f78919521,bd9f78919521,0.8727,1.4652
08906e4199fa,CHEMBL5783822,CHEMBL5828031,af5276bde3d4,a2437af604b0,6d7cbc7a833d,9d8e26e8eda7,0.8507,1.4642
a429224325fa,CHEMBL5204270,CHEMBL5206902,4ef92ca6b092,a730652592a5,7782fa5ac508,1f8f0e106aae,0.8857,1.4624
a2b9b40bede4,CHEMBL184682,CHEMBL187007,0376c3e90f93,5766753dcb66,b5d5842db796,b5d5842db796,0.873,1.4624
bfbe10510e3d,CHEMBL593911,CHEMBL593987,57ac29c8d31b,4e3c9d32aaf6,912fe434e1f0,c9c1b60fac08,0.8767,1.4574
d671503da01d,CHEMBL4129387,CHEMBL4129646,f43184d2c575,9cf4fb44a9cb,63ac604009aa,63ac604009aa,0.8605,1.4489
59455358ebb9,CHEMBL5804773,CHEMBL5917246,96490f209e49,fb3eb29d2c1d,f9e6a0eb24e7,fa2a3fef64d6,0.8765,1.4472
7d83eae38e16,CHEMBL251123,CHEMBL399371,41a302e55b20,c07a3d28cae2,d21d9c1c2bb1,9b7d97bc9871,0.8667,1.4472
e6eb91b8ad9b,CHEMBL5271155,CHEMBL5290503,892e6ac69105,9c52efe29e1e,8b8dc82425ad,8b8dc82425ad,0.8507,1.4472
b80d99a634da,CHEMBL179363,CHEMBL179527,9146c98639ac,dd8e4ced61a2,bedf6cea4efd,bedf6cea4efd,0.8916,1.4449
4db0a38696be,CHEMBL5076986,CHEMBL5091683,cf46d5ef713c,db2eae6bc7f6,9b2aaf89f954,9b2aaf89f954,0.8696,1.4409
8b2e9e14a2b2,CHEMBL598520,CHEMBL611681,1e34ca589fbb,2e89dd3ac6de,bf0b7f58151c,bf0b7f58151c,1.0,1.4403
53a2658aa55a,CHEMBL5405163,CHEMBL5770549,63487084974e,b144f0cf7d83,f05b463c4807,f05b463c4807,0.8514,1.44
d2f1a591ac8f,CHEMBL5939208,CHEMBL5961822,dd96c32ade14,4046fd13aa0b,bb39a6ae6338,bb39a6ae6338,1.0,1.4387
8570769dd3f6,CHEMBL435809,CHEMBL608533,e2f28dbd1753,09604d4145a7,67cab29be820,67cab29be820,0.9324,1.4357
5d552eb82cba,CHEMBL2087361,CHEMBL4453068,d70393bde4a8,8ae8ea602892,39a4d3f53ed3,41118d4fb850,0.9348,1.4268
2be1b397c0b7,CHEMBL5783967,CHEMBL5811714,a32a34b83d36,73b692a6fe35,4f9efeb09982,4f9efeb09982,0.8953,1.4265
f970c6af2719,CHEMBL1683962,CHEMBL1934624,5703f9b98370,b4eb33afcc05,c6504c959e22,04dc10a0ecd2,0.875,1.426
211dc0e821db,CHEMBL5852720,CHEMBL5940711,124268b00cfb,9cbac1665fbc,4f9efeb09982,4f9efeb09982,0.8554,1.4205
b986d77fa8b5,CHEMBL6120461,CHEMBL6152895,0f867eca46a9,8fe230198ad5,ba7e02001480,d7fe46d89223,0.8795,1.4184
167f33490b07,CHEMBL3671495,CHEMBL3671521,1ca5635a4d11,abc90f77d1c2,3e29b80f74c6,3e29b80f74c6,0.8676,1.4082
ae7a826dfe68,CHEMBL4069277,CHEMBL4104658,308f832cdc60,d482a06e5a66,7195067b08f6,7195067b08f6,0.8929,1.401
76b10a258b7a,CHEMBL3235202,CHEMBL3235204,2d59ccc1e548,5eeef6e6d2c7,ac4865952610,ac4865952610,0.8714,1.3993
115293716e0b,CHEMBL1873475,CHEMBL4099713,d99fc32ad511,b48d181d2a6f,ce31abc46830,3e0ea7a2c961,0.8548,1.3979
01450aca7927,CHEMBL5273000,CHEMBL5280575,4555aa81ce23,451fd0b9529b,8b8dc82425ad,8b8dc82425ad,0.8615,1.3936
8133a860cfdc,CHEMBL2032376,CHEMBL2032378,fcec47647f80,6c13c6c614db,b4a7bee18d68,a187869931ae,0.9079,1.387
